sort_name,source
"Blond, William",Local Sources [SYNC]
"Feldman, Edward L.",Local Sources [SYNC]
"Denison, Carolyn, 1910-2005",Local Sources [SYNC]
"Ames, Margaret Beckman, 1856-1909",Local Sources [SYNC]
"Murray, Lorman G. (Lorman Gourlay), 1886-1964",Local Sources [SYNC]
"Scharhon, Victor",Local Sources [SYNC]
"Goykhman, Meyer",Local Sources [SYNC]
"Eggleston, Esther, 1905-2008",NACO Authority File [SYNC]
"Smith, George O. (George Oliver), 1911-",Unspecified Ingested Source
"Lewis, Harry",Local Sources [SYNC]
"Barokas, Kathie Alhadeff",Local Sources
"Sussman, Jerry",Local Sources
"Damm, Peter M.",Local Sources
"Altabet, Sam (Nissim), 1902-1985",Local Sources
"Hutton, Esther Robbins, 1930-",NACO Authority File
"Milkie, Fred",Local Sources [SYNC]
"Meld, Murray, 1920-",Local Sources
"Koepke, Georgia Compton, 1885-1987",Local Sources [SYNC]
"Gardner, Grace Christianson, 1890-1968",Local Sources
"Hammer, Enid, 1925-1996",Local Sources
"Case, Mary Ellen Krug",Local Sources
"Treiger, Karen",Local Sources
"Tuohy, Albert, 1895-1966",Local Sources
"Pressly, Thomas",NACO Authority File [SYNC]
"Romney, Rodney R., 1931-",NACO Authority File
"Thomas, Peter",Unspecified Ingested Source
"Gray, Florence",Unspecified Ingested Source
"Mignon, Edmond",NACO Authority File [SYNC]
"Pruzan, Herb",Unspecified Ingested Source
"George, Frances",NACO Authority File
"Levine, Phillip, 1931-",NACO Authority File [SYNC]
"Ross, J. D. (James Delmage), 1872-1939",NACO Authority File [SYNC]
"Graves, Stephen W., 1929-",Local Sources
"Hinkle, James W. (James William)",Local Sources [SYNC]
"Bullock, John Roger",Local Sources
"Alhadeff, Kenneth",Local Sources
"Hobbs, Peter Victor, 1936-2005",NACO Authority File
"Peltier, Jerome",NACO Authority File [SYNC]
"Anichtchenko, Evguenia V.",Local Sources
"Cox, Christopher",Local Sources
"Garcia-Vega, Michelle",Local Sources
"Voorhees, Hannah",Local Sources
"Lake, Sandra Glazer",Local Sources [SYNC]
"Stipp, Charles G.",Local Sources [SYNC]
"Grey, Arthur L.",NACO Authority File
"Whiteley, Arthur H. (Arthur Henry), 1916-2013",Local Sources [SYNC]
"Streatfield, David C.",NACO Authority File [SYNC]
"Abrams, Sidney A., 1927-",Local Sources
"Valenza, Roberto Francisco",NACO Authority File
"Soule, John P.",Unspecified Ingested Source
"Hargreaves, Kenneth L., 1914-2003",Local Sources [SYNC]
"Jensen, John H., 1916-2003",Unspecified Ingested Source
"Jones, Alice May",Unspecified Ingested Source
"Van de Water, R.R. (Richard R.)",Unspecified Ingested Source
"Gould, J.E",Unspecified Ingested Source
"Elliott, Thompson Baker",Unspecified Ingested Source
"Thrush, Loren E., 1921-2007",Unspecified Ingested Source
"Roppel, Patricia",Unspecified Ingested Source
"Van Arsdale, Albert H., 1910-1986",Unspecified Ingested Source
"Wightman, Roberta A.",Unspecified Ingested Source
"Beattie, Curtis L. (Curtis Lloyd), 1946-2007",Local Sources [SYNC]
"Reiley, Eldon",Unspecified Ingested Source
"Goodwin, Arthur Eliot",Local Sources [SYNC]
"Moss, Carlton",NACO Authority File [SYNC]
"Otsuka, Edward",Unspecified Ingested Source
"Kerry, A.S. (Albert Sperry), 1866-1939",Local Sources [SYNC]
"Cressey, Paul F.",Local Sources [SYNC]
"Heacock, Rayner",Unspecified Ingested Source
"Robison, Shelby",Local Sources [SYNC]
"Haner, Victor",Unspecified Ingested Source
"Miller, William T. ((Seattle))",Local Sources [SYNC]
"Battson, Glenn E. (Glenn Edwin)",Unspecified Ingested Source
"Raymond, C. F.",Unspecified Ingested Source
"Pries, Lionel H., 1897-1968",Unspecified Ingested Source
"Goetz, O. D. (Otto Daniel)",Unspecified Ingested Source
"Davidson, Isaac",Unspecified Ingested Source
"Watkins, Carleton E., 1829-1916",NACO Authority File [SYNC]
"Turner, James A. (James Aaron), 1887-1951",Unspecified Ingested Source
"Pickett, Lee, 1882-1959",Unspecified Ingested Source
"McBride, Ella",Unspecified Ingested Source
"Ford, Helen Louise",Local Sources [SYNC]
"Nowell, Frank H., 1864-1950",NACO Authority File [SYNC]
"Wagness, John T., 1858-1935",Local Sources [SYNC]
"Carver, Raymond, 1938-1988",Unspecified Ingested Source
"Shelton, John S.",NACO Authority File [SYNC]
"Grieco, Vito A.",Unspecified Ingested Source
"Storvik, Jerry",Unspecified Ingested Source
"Jacobsen, Pat",Unspecified Ingested Source
"Alderson, John T.",Unspecified Ingested Source
"Solomon, Mildred, 1906-1988",Unspecified Ingested Source
"McDonald, R. T.",Unspecified Ingested Source
"Potoski, Tony, 1914-1995",Unspecified Ingested Source
"Trabert, Harriet M.",Unspecified Ingested Source
"Ross, Robert Hugh",Unspecified Ingested Source
"Conway, Dorothy, 1909-2007",Local Sources [SYNC]
"Ludden, A.",Unspecified Ingested Source
"Gonzales, Boyer, 1864-1934",Unspecified Ingested Source
"Dean, Arthur",Unspecified Ingested Source
"San Jose, Johnny",Unspecified Ingested Source
"Ahlquist, John S.",NACO Authority File
"Bernnard, Robert M., 1914-1980",Local Sources
"Drinnon, Richard",NACO Authority File
"Lembcke, Jerry, 1943-",NACO Authority File [SYNC]
"Correll, Richard V., 1904-1990",Local Sources [SYNC]
"Gallacci, John",Local Sources [SYNC]
"Archibald, John G. (John Gilbert), 1915-2004",Local Sources
"Columna, Potenciano, 1905-1997",Local Sources
"Slusher, Ken",NACO Authority File
"McLauchlan, John D.",Local Sources
"Bethel, James Samuel",Unspecified Ingested Source
"Cole, Dale W.",NACO Authority File [SYNC]
