origination_name	Qid	unittitle	bioghist	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20	Column 21
AFL-CIO. Region No. 9		AFL-CIO Region 9 records	"After the 1955 merger of the American Federation of Labor and the Congress of Industrial Organizations, the national AFL-CIO implemented a regional system to communicate and coordinate with state and local labor councils. Since 1955, the regional system has been restructured several times. For the purposes of this collection, AFL-CIO Region 9 refers to the representative of the national AFL-CIO in the Pacific Northwest from 1986 to 1996. Located in Seattle, the office is now defunct, its former jurisdiction encompassed: Alaska, Idaho, Montana, Oregon and Washington. In 1996-1997, these areas were merged within new AFL-CIO regional office structure and placed under Western Region Office, in San Francisco, CA.

From 1986 until 1994, Region 9 was directed by Edward Collins. Previously, Collins had overseen the Region 6 office in San Francisco. David Gregory succeeded Collins in 1994. After the reorganization Gregory served as Regional Political Coordinator.

Due to the restructuring of the regional system this collection contains materials from AFL-CIO Region 21 (1955-1974) and AFL-CIO Region 6 (1974-1986). The AFL-CIO Region 21 office was located in Portland, Oregon and directed by Chester C. Dunsten (1956-1964), Claude Shaffer (1964-1965), and James J. Leary (1965-1974). The AFL-CIO Region 6 office was located in San Francisco and directed by William L. Gilbert (1974-1977), Charles Hogan (1977-1981), James Baker (1981-1983), and Edward J. Collins (1983-1986)."																		
King County Labor Council	Q6411389	King County Labor Council records	"The King County Labor Council has long been the communal decision-making body of the various union locals in King County. From the mid-1920s until the reunification of the AFL and CIO in 1955, only AFL-affiliated unions were represented on the Council. At other times, however, the vast majority of King County's locals had a voice on the Council.

The Council has passed through at least four distinct periods in its history. The Council originally began in 1888 as the Western Central Labor Union. This body changed its name to the Central Labor Council of Seattle and Vicinity in 1905. These groups occasionally joined coalitions with Populists and other reform groups in local and state politics. Nonetheless, much of the early Council's energy was spent simply trying to survive. The second phase of the Council's history began roughly in 1914 with the labor shortage that allowed unions to organize much of Seattle. The Council grew increasingly radical in this period and became the dominant force in Seattle's powerful progressive coalition. The loss of the Council's power began with the mass layoffs of shipyard workers after World War I. These layoffs led the Council to call the Seattle General Strike of 1919, the only truly city-wide general strike in American history. Employers responded to the failed strike with an open shop drive that de-unionized most of King County. A series of internal power struggles plagued the Council after the strike. The Council voted to expel members of the Industrial Workers of the World in late 1919 and Communist Party members in 1925.

The growing conservative influence in the Council was solidified when Dave Beck and his Teamsters came to dominate the group in the late 1920s. The third phase of the Council's history was thus business unionism, Beck-style. Dave Beck began his career as a driver for the Council's cooperative laundry but rapidly rose to become the chief Teamster organizer west of the Rockies. Beck used the strategic position of truck drivers in the economy to start rebuilding the strength of organized labor in Seattle. If the Council declared a firm to be ""unfair to labor,"" he could often prevent the firm from trucking its goods to market. Despite Beck's occasionally ruthless tactics, he believed that businesses had a right to make a profit. When the Great Depression spurred widespread organizing drives, many firms concluded that they would much rather deal with the avowedly anti-radical Beck than with a CIO union. The Council routinely backed Beck in his jurisdictional disputes with CIO and independent unions. Thus, by the end of World War II, Seattle was largely a closed-shop AFL town. Under Beck's reign, the Council stayed fairly aloof from politics, endorsing moderate pro-labor Democrats and spurning the leftist coalitions that fought for local and state offices.

The fourth stage of the Council's history, its reentry into local politics, began with the merger of the AFL and CIO in 1955. The expanded Council was quickly put on the defensive by statewide right-to-work proposals in Initiative 198 in 1956 and Initiative 202 in 1958. The Council played a leading role in the campaigns that defeated these measures. After these victories, the Council went on the offensive. It started a pro-labor public relations campaign in 1959 that included donating money to charities and promoting radio and television appearances by labor leaders. Beginning in 1964, the Council's Committee on Political Education launched major voter registration drives before elections. The growth of public sector unions in the 1950s and 1960s, coupled with the addition of progressive CIO unions, led the Council to endorse expanded social services and public housing in this period. The Council also supported the efforts of Seattle civil rights groups during the 1960s. Nonetheless, the Council retained some traces of business unionism. It gave a no-strike pledge during the 1962 World's Fair and often helped the Chamber of Commerce lobby for subsidies for local businesses.

During the latter years of the 20th century, the period documented in Accession 1940-2, the council's executive secretaries were, in succession: James K. Bender, Dan Bickford, Ron Judd, and Steve Williamson.

In 2005, the name changed to Martin Luther King County Labor Council, commonly referred to as MLK Labor."																		
Washington State Labor Council	Q7972255	"AFL-CIO, Washington State Labor Council records"	"The Washington State Labor Council (WSLC) was formed in 1957 by a merger of the Washington State Federation of Labor and the Washington State CIO Council. These two labor bodies had been bitter rivals in the 1930s but had slowly grown closer together. The need to cooperate to defeat right-to-work measures (Initiative 198 in 1956 and Initiative 202 in 1958) cemented their alliance. After defeating these measures, labor groups took the offensive. The United Labor Lobby (ULL), which grew out of the committees created to defeat the right-to-work initiatives, won an extension of the 40 hour maximum work week to all Washington workers and an expansion of the unemployment insurance system in 1959. The ULL and WSLC were not able to follow up on these victories in the early 1960s as the increasingly Republican state legislature soon forced labor back on the defensive.

When Evan (Ed) Weston retired as WSLC president in 1961, Joe Davis was elected president. Davis beefed up the Council’s voter registration and get-out-the-vote drives. In 1966 Davis launched a major new effort, dubbed Project ‘66, to increase labor’s influence and broaden its political agenda. Project ‘66 increased the amount of money that member unions paid to the Council and doubled the Council’s staff. These changes allowed the Council to monitor government agencies more closely and to lobby on new subjects of legislative interest, such as tax reform and consumer protection. The new program did score a few notable victories. The WSLC increased its influence in the Washington Department of Labor and Industries. The Council also won limited collective bargaining rights for public employees in 1967, broadened the workers’ compensation program to include essentially all workers in 1971, provided assistance to efforts to pass civil rights laws in the 1960s, and was instrumental in obtaining several consumer protection laws in the 1970s. Project ‘66 thus increased the number of issues on which the Council had legislative influence and built greater cooperation between labor, civil rights, and consumer protection groups. Nonetheless, the WSLC did not substantially increase its ability to elect labor-friendly candidates to the legislature. As such, labor remained vulnerable to lobbying assaults from employer groups throughout the 1970s and 1980s, suffering occasional defeats in struggles over the workers’ compensation and unemployment programs.

The following people served as officers and staff (WSLC): Evan (Ed) Weston, president, 1957-1961; Joe Davis, president, 1962-1980; Marvin Williams, secretary-treasurer, 1959-1980, president, 1985-1993; Lawrence Kenney, research director, 1969-1980, secretary-treasurer, 1980-1985, president, 1985-1993; Louis O. Stewart, education director, 1967-1982."																		
A. Philip Randolph Institute. Seattle Chapter		"A. Philip Randolph Institute, Seattle Chapter records"	"The national A. Philip Randolph Institute was co-founded in 1965 by A. Philip Randolph and Bayard Rustin, in 1965 to forge an alliance between the civil rights movement and the labor movement. APRI is now an American Federation of Labor-Congress of Industrial Organizations constituency group, representing black trade unionists within the AFL-CIO. APRI-Seattle Chapter is dedicated to developing programs that will ""extend democracy to those who have been traditionally disfranchised or discouraged from participating in the political system, strengthening political alliances needed to assure democratic social change and projecting social and economic programs that will improve the lives of all Americans."""																		
(No origination name found.)		John Ahlquist and Margaret Levi research materials for the book 	"John Ahlquist and Margaret Levi are authors of the book 

In the book, John Ahlquist and Margaret Levi systematically compare and document eighty years of union social activism by the International Longshore and Warehouse Union (ILWU) in the United States and the Waterside Workers Federation (WWF) in Australia. They compare the ILWU and WWF to the Teamsters and the International Longshoremen's Association, two American transport industry labor unions that actively discouraged the pursuit of political causes unrelated to their own economic interests.

John S. Ahlquist is the Trice Family Faculty Scholar and associate professor of political science at the University of Wisconsin in Madison. He is also a research associate in political economy at the United States Studies Centre at the University of Sydney and a faculty affiliate of the La Follette School, the Center for Financial Security, and the Institute for Research on Poverty. He holds a B.A. from UC Berkeley and a Ph.D. from the University of Washington. Ahlquist was project director for the Union Democracy Reexamined project while he was a graduate student at the University of Washington.

Margaret Levi is the Jere L. Bacharach Professor of International Studies at the University of Washington and Senior Fellow, Watson Institute of International Studies, Brown University. She is Foundational Chair in Politics at the University of Sydney's United States Studies Centre, where she is now an Affiliate Professor. She is also Director of the CHAOS (Comparative Historical Analysis of Organizations and States) Center and formerly the Harry Bridges Chair and Director, the Harry Bridges Center for Labor Studies. Levi earned her B.A. from Bryn Mawr College in 1968 and her Ph.D. from Harvard University in 1974, the year she joined the faculty of the University of Washington. She became a Fellow of the American Academy of Arts and Sciences in 2001 and a John Simon Guggenheim Fellow in 2002. She was a Phi Beta Kappa Visiting Scholar (2006-7) and recipient of the S. Sterling Munro Public Service Teaching Award in 2001. She served as President of the American Political Science Association (2004-5)."																		
"Allen, Al"		Al Allen collection on the International Longshore and Warehouse Union	"Al Allen grew up in San Francisco, Califronia, and entered a career as a longshoreman in International Longshoremen's and Warehousemen's Union, Local 10 (San Francisco). In 1959, Allen came onto the ""B List"" in San Francisco, working as a winch driver. The ILWU created the new hiring category in San Francisco--""B"" men worked irregularly and had the dirtiest jobs, with the promise of promotion to ""A"" status after a year of work, and were not considered full union members until that time. Later in his career there, Allen moved into crane work. Allen was one of the original people to go to work at SeaLand as a supplement prior to the 1971 Pacific Coast Longshore Strike. During that strike, he served as a picket captain. While at ILWU Local 10, Allen also served on the Promotions Commitee. During this period, Allen worked in various different ports on the Pacific Coast, incluing Los Angeles, Portland, and Tacoma.

Later, Allen used the ILWU transfer program to transfer to the growing port of Tacoma, where he became a member of ILWU, Local 23.

During his time in Tacoma's Local 23, Allen formed a coalition with other transferred longshoremen from the Portland local (ILWU Local 8), and advocated reforms in the union's handling of the dispatch system and the qualification for the test necessary to become a crane operator--a coveted job. Eventually, these transfers from Portland and San Francisco began to reform Local 23's internal political culture, winning offices as the local's president, vice president, on the Longshore Relations Committee, as walking bosses, as clerks, and as crane operators--all positions of esteem and influence in the local. Allen also became an internal advocate for union militancy and policing of the contract and working conditions; filing and assisting other members in filing grievances. Allen was also involved in a gender discrimination grievance and lawsuit by Linda Nyland against the Local 23 and the Pacific Martime Association (the employers' organization).

Allen later retired from ILWU 23 and remains living in Tacoma."																		
"Amalgamated Transit Union. Local 587 (Seattle, Wash.)"		"Amalgamated Transit Union, Local 587 records"	"Founded in 1892, Amalgamated Transit Union, Local 587 is the largest ATU local on the West Coast. The local had 4000 active and 300 retired members in King, Clallam and Jefferson counties as of 2011. The main membership is comprised primarily of transit operators, but the union also includes 800 members working in over 80 craft occupations.

ATU Local 587 represents employees of:

King County Metro King County, Washington First Transit King County, Washington Solid Ground King County, Washington Jefferson Transit Authority Jefferson County, Washington Clallam Transit System Clallam County, Washington

ATU 587 has, as of 2012, about 4,000 active and 300 retired members spread throughout King, Jefferson, and Clallam counties, and is the largest West Coast ATU chapter. Also as of 2012, ATU International was the largest transit workers' union in North America, including over 190,000 members in the US and Canada.

On April 8, 1912, the Amalgamated Association of Street and Electric Railway Employees of America, Local 587 was formed by the Rainier Valley Electric Railway Workers. The name was eventually shortened to the Amalgamated Transit Union. The international union itself had been established in 1892, affiliated with the American Federation of Labor and the Knights of Labor. The history of Local 587 is intertwined with that of its major bargaining counterparts: the Seattle Electric Company/Puget Sound Traction, Light, and Power/ Puget Power, Seattle Transit, and Metro Transit/King County Metro Transit. Public transit in Seattle has undergone many changes, peaks, and troughs, each of which greatly affected ATU 587.

The first horse-drawn street railway was built in Seattle in1884, but horse-drawn cars proved troublesome on the city’s many hills. Horses were soon replaced by the first cable cars, introduced in 1887, and several independent streetcar lines were established. With the economic depression of 1893, many of these lines suffered and were bought but Boston-based Stone & Weber, who managed them under the names the Seattle Electric Company, Puget Sound Traction, Light, and Power, or Puget Power. By 1900, Stone and Webster had acquired twenty-two street railway lines and the main power company.

ATU 587’s first major action came in July 1917. Relations were already tense, as Puget Power had cut wages to compensate for operating losses, but things came to a head when two transit employees were fired for joining ATU 587. The remaining 1,500 employees walked out in response. When Puget Sound Traction, Light, and Power brought in strikebreakers, the striking workers rioted and overturned two streetcars in Pioneer Square. This strike shut down operations in the city and forced shipyards to close, so, as it occurred during WWI, the federal government pressured both sides for arbitration. As a result, ATU 587 did not win a wage increase, but the company was prohibited from firing workers solely for joining the union.

In 1918, Puget Power was losing money, in part due to competition from motorized jitney taxes and the private auto. $400,000 behind in taxes to the city, Puget Power asked the city to lease some of its lines. In response, Seattle Mayor Ole Hanson purchased the entire streetcar system from Puget Power (for much more than it was technically worth). Voters approved the plan, paying $15 million (renegotiated to $10 million) and the city assumed control in 1919, renaming the system the Seattle Municipal Railway. After a few years, the city also began to struggle to pay for this system, especially with fares set at the low price of a nickel. To remedy the problem in 1939, Seattle Mayor Arthur Langlie borrowed $10.2 million from New Deal agency the Reconstruction Finance Corporation to pay off Puget Power and purchase 235 trolley buses and 102 motor coaches. By 1941, the last streetcar ran in Seattle (until the 1980s, when streetcars were revived by the waterfront, and later in South Lake Union.

During WWII, ridership rose to 57 million as the government rationed gasoline, while ATU 587 made wartime concessions. A new group of younger leadership took over the ATU 587 in 1945 and committed themselves to strengthening the union and increasing assertiveness. The ATU 587 made major gains in the postwar period, obtaining paid vacation and the first operator wages over $2 per hour.

In the 1950s, though, ridership decreased as Seattleites spread to the suburbs. Tensions grew as Seattle Transit lost money but ATU 587 remained assertive, until union members went on strike in 1956. The city of Seattle eventually won an injunction that declared public employee strikes illegal. Suburban sprawl continued, while voters did not approve sources of funding for transit proposed by the Forward Thrust program. By 1973, it became evident that even the survival of the system was in question, as Seattle Transit faced impending bankruptcy. The Municipality of Metropolitan Seattle (Metro), established in 1958 to deal with waste treatment in the greater Seattle area, received voter authorization to take over the transit system in King County by 1973. With this shift, ATU Local 1384, associated with privately owned Metropolitan Transit Corporation, merged into ATU 587.

Metro Transit tried to decrease costs, to the frustration of ATU 587; at the time, Seattle transit employees made about 15-20% less than employees in other West Coast cities and lacked a cost-of-living adjustment in the face of rapid inflation. Yet Metro was hiring rapidly, and was hesitant to also give employees, new and old, these benefits. ATU 587 went on strike for 15 days in 1974, asking for higher wages and benefits, but Metro was not compliant. A federal mediator was brought in, and parties eventually settled on sick leave, an eight-hour day, and a 34% wage increase for drivers and mechanics, plus cost-of-living increases, though other Metro Transit employees did not gain quite so much. In 1977, Metro instituted part-time drive positions to provide sufficient service during peak times without losing massive amounts of money in off-peak hours. Some ATU 587 members protested this policy with some strategic sickouts, as part-time drivers violated the guarantee of an eight-hour day. However, the union’s eventual position when negotiating the installation of part-time drivers was to try to make the position undesirable, with few benefits, in the hopes that having part-time employees would be untenable and Metro would eliminate the position. This tactic proved shortsighted in many ways, as there were many part-time drivers, so ATU 587 spent much of the following decades trying to improve the working conditions of part-timers. Other issues arose regarding seniority between part-time and full-timer drivers, to be negotiated in the coming decades.

Metro made some changes to operations in Seattle in the 1970s-1990s. It instituted the Ride Free downtown area, implemented services for the handicapped like wheelchair lifts and Paratransit Services, and proposed a 1.3 mile bus tunnel in 1987, completed in 1990. However, Metro ceased to exist in 1994, as it was found unconstitutional, and was replaced by the King County Metro.

ATU 587 has shown concern for worker rights and workplace conditions over the years, particularly in the 1980s-2000s, the period most strongly covered by this collection. In 1980, ATU 587 codified past practice and work rules by writing up extensive contracts, which grew to hundreds of pages and gave the union a stronger legal basis for grievances and other requests. ATU 587 began to represent Clallam Transit Services and Jefferson Transit Authority in the early 1980s, and Paratransit Services in the 1990s. The ATU also was politically active in the 1980s, supporting Greg Nickels for King County Council. In 1989, the Department of Transportation, a federal organization that subsidized much of Metro Transit, began to require random drug testing. This policy led the ATU 587 to a court battle, which it eventually lost. Metro Transit and ATU 587 suffered a tragedy in 1998 when Metro operator Mark McLaughlin was attacked by a gunman while driving a bus across the Aurora Bridge. The bus crashed and fell off the bridge, killing McLaughlin, the shooter, and a passenger. In 2003, the ATU 587 supported a move to bring surveillance cameras onto buses, arguing that cameras would help prevent assaults on drivers. ATU 587 concerns in the last few decades have included issues such as these about workplace conditions.

Throughout much of the 1990s and 2000s, ATU 587 also struggled for higher wages and better benefits as funding for transit remained unstable. Contract negotiations in 1989-1990 proved difficult, as ATU 587 members walked out for several hours and outside negotiators were brought in. ATU 587 won a modest wage increase and benefits. In 1999, State Initiative 695, sponsored by Tim Eyman, proposed to require voter approval for tax increase while lowering vehicle license tab fees from 2.2% of a vehicle’s value to $30. Despite the efforts of the ATU and other groups on the No on I-695 campaign, the initiative passed. Several groups, including ATU 587, took the issue to court, arguing that it did not follow the Washington constitution, which restricts initiatives to one subject. The court threw out I-695, but politicians installed a similar cut on license tabs. In 2000, Eyman proposed another initiative, I-745, which would have designated 90% of state and local transportation for roads, with only 10% left for other forms of transportation. ATU 587 campaigned passionately against the measure, and it was rejected. In 2002, citizens rejected Referendum 51, which would have provided a large amount of funding to improve state transportation, while approving a $30 limit on car tabs. Overall, ATU 587 and King County Metro alike have spent much of the past few decades struggling to find stable transit funding."																		
"American Federation of Teachers. Local 1690 (Edmonds, Wash.)"		"American Federation of Teachers, Local 1690 records"	"American Federation of Teachers Local 1690, the Edmonds Federation of Teachers, was chartered about 1966. It competed with the NEA-affiliated Edmonds Education Association to represent K-12 teachers in the Edmonds, Washington School District #15. The local was most successful in gaining members from secondary schools. Local 1690 became inactive in 1986."																		
"American Federation of Teachers. Local 200 (Seattle, Wash.)"		"American Federation of Teachers, Local 200 Records"	"Labor organization of teachers in Seattle public schools since 1927 .

Local 200 of American Federation of Teachers was chartered in 1921, a union of classroom teachers in Seattle. Local 200 contained several subgroups throughout its history, and the Seattle Teachers' Association and Seattle Federation of Teachers were very prominent rival organizations within the local during the late 1960s through the 1980s."																		
"American Federation of Teachers. Local 336 (Bremerton, Wash.)"		"American Federation of Teachers, Local 336 records"	"The American Federation of Teachers, Local 336 is the oldest teacher's union local in Washington State. The union formed in 1934, in the wake of the National Industrial Recovery Act (NIRA) of 1933. Both NIRA and the National Labor Relations Act of 1935, granted collective bargaining rights for workers in most private sector industries but did not guarantee them for public sector workers. Thus, the members of Local 336 organized before teachers and other public employees were legally protected to bargain collectively. Local 336 was the first teacher's union in the nation to be recognized as the sole collective bargaining agent for all teachers within a school district and to successfully negotiate a binding collective bargaining agreement with the school board. The union was also called the Bremerton Federation of Teachers, Local 336 and was affiliated with the American Federation of Teachers as well as the Washington State Federation of Teachers."																		
