id_0,name,collection,note
18-039,University of Washington. Office of Minority Affairs,University of Washington Office of Minority Affairs and Diversity Gear Up records,"The Office of Minority Affairs provides a variety of services, including recruitment, counseling, tutoring, and instructional assistance to underrepresented minority students and to students who have been identified as coming from economically and educationally disadvantaged backgrounds. The Office of Minority Affairs was established in 1970, replacing Special Educational Programs"
00-088,University of Washington. Hospital,"University of Washington, Hospital records",[Biographical Historical Note Needed]
1953-005,"Danish Brotherhood in America. Lodge 29 (Seattle, Wash.)","Danish Brotherhood in America, Lodge 29 records","The Danish Brotherhood in America is a fraternal benefit society dedicated to perpetuating Danish cultural traditions by promoting a shared sense of Danish heritage among its members. In addition, the Danish Brotherhood in America provides financial and emotional support to its members in times of need, assists them in securing employment, and offers them low-cost life insurance. Â¶ Seattle Lodge 29 of the Danish Brotherhood in America was organized April 8, 1888, when the first officers were installed by Victor Conradsen by the authority of Supreme President L.L. Ries. At the time of its establishment, the lodge had only eleven charter members and was the first Danish Brotherhood in America lodge on the Pacific Coast. Since that time, lodge membership has gradually increased, but the overall mission of the lodge remains the same; namely, to maintain and preserve Danish customs and identity for the benefit of lodge members and their families. "
2003-011,"Jewish Family Service (Seattle, Wash.)",Jewish Family Service records,"Jewish social service agency.Â¶ The Jewish Family and Child Service (now called Jewish Family service) evolved through several predecessor organizations and name changes. The organization began as the Ladies Hebrew Benevolent Society in 1892. Through merger it became the Hebrew Benevolent Society from 1917-1929. The name became the Jewish Welfare Society in 1929 until 1947. From this time until 1978, it became the Jewish Family and Child Service. The name changes reflect the changing needs of the community JFS served and its broadening services. The Ladies Hebrew Benevolent Society was founded by Esther Levy, who with her daughter, organized the all volunteer group that was committed to offering hope and new direction. It was not until 1921 that an experienced social worker was hired. Jewish Family and Child Service changed its name to Jewish Family Service of Seattle in May 1978."
2024-009,"Edmondson, W. T. (Walles Thomas), 1916-2000",W. T. Edmondson papers,"Walles Thomas Edmondson was born in 1916 in Milwaukee Wisconsin. He attended Yale University and the University of Wisconsin. In 1942, Edmondson earned a PhD in Zoology from Yale University. He was a research association at Woods Hole from 1943 to 1946 and a lecturer in Biology at Harvard from 1946 to 1949. In 1949, Edmondson joined the Zoology Department faculty at the University of Washington where he remained until retirement. He died in 1999. His research interests focussed on lake productivity, eutrophication, comparative limnology, ecology and taxonomy of Rotifera and population dynamics of zooplankton. His book entitled The Uses of Ecology: Lake Washington and Beyond documents the recovery of Lake Washington. Â¶ "
2001-001,"Carlson, Barry F.",Barry Carlson papers,[Biographical Historical Note Needed]
1947-006,American Chemical Society. Puget Sound Section,"American Chemical Society, Puget Sound Section records",Professional society of chemists and chemical engineers. 1909- . The Puget Sound section began in 1909.
1920-042,Pacific Northwest Library Association,Pacific Northwest Library Association records,"The Pacific Northwest Library Association (PNLA) was founded in 1909 during a three day conference at the Alaska-Yukon-Pacific Exposition in Seattle. The original members included librarians from Washington and Oregon, as well as the Provincial Librarian of British Columbia, but the membership grew to include librarians from Idaho, Montana and Utah. The PNLA affiliated with the American Library Association (ALA) in 1914. Among the achievements of the PNLA was the creation of the Subscription Books Bulletin in 1917, which eventually merged with another publication to become the ALA's Booklist. Although experiencing restructuring through the years, the PNLA celebrated its centennial in 2009 and remains the only regional library association to incorporate an international border. Â¶ "
1729-019,Washington Environmental Council,Washington Environmental Council records,"The Washington Environmental Council (WEC) was founded in 1967 as an umbrella organization by and for the state of Washington's leading conservation groups. Through its mission \""to protect, restore, and sustain Washington's environment for all,\"" the organization has served as a coordinating body on issues of statewide significance. Among other achievements, the WEC has worked to enforce and pass the State Environmental Policy Act, the State Superfund Law, the Growth Management Act, and the Shoreline Management Act. It also operates the Environmental Priorities Coalition and the Voter Education Program. Throughout its history, the organization has also focused on other issues related to carbon pollution, clean energy, water pollution, forests, and public lands.Â¶ In 1986 and 1987, the WEC was heavily involved with the Timber, Fish, and Wildlife Implementation Project, which was the result of negotiations between the timber industry, the four natural resource agencies in Washington State, Indian tribes, and environmentalists. The Project is a cooperative plan for managing forest harvest practices on both state and private timberlands. Marcy Golde was involved with the negotiations, while Lisa Lombardy served as the WEC's statewide coordinator. Other WEC staff, through private funding, monitored timber harvest applications.Â¶ Another major legal case in which the WEC was involved concerned Washington State rules that imposed requirements on the design, equipment, reporting, and operations of oil tankers. Washington State, with the help of the WEC, defeated the trade association Intertanko, which represented operators of oil tanker ships. In 2000, however, the U.S. Supreme Court reversed the decision on the basis that federal law pre-empts state rules. Â¶ "
18-007,University of Washington. Department of Communication,University of Washington Department of Communication faculty meeting minutes,"The University of Washington Department of Communication was established in 2002 through the merger of the Department of Speech Communication and the School of Communications. It forms part of the Social Sciences Division in the College of Arts and Sciences.
The Department emphasizes teaching, research, and service in seven areas: communication and culture, communication technology and society, global communication, journalism, political communication, rhetoric and critical studies, and social interaction. The Departmentâ€™s graduate programs include a combined Master of Arts and PhD in Communication, a Communication Leadership Masterâ€™s program with emphases in Digital Media or in Communities and Networks, and a Master of Communication in Native Voices.
The Department of Communication is also home to the Center on Communication, Difference, and Equity and to the Center for Communication and Civic Engagement."
2017051701,,"DISPERSAL RECORD (Three men and horse in ice cave, Mt. Rainier",
0003-002,"Schwellenbach, Lewis B. (Lewis Baxter), 1894-1948",Microfilm of Schwellenbach items in the Truman Library,[Biographical Historical Note Needed]
00-024,Transportation Northwest (Organization),Transportation Northwest records,"Transportation Northwest (TransNow) is one of ten regional research centers of the Department of Transportaton UTC Grant Program. TransNow is a research and educational organization representing Region 10, which includes the states of Alaska, Idaho, Oregon, and Washington. A consortium of six universities from these four states cooperate in this effort. They include: the University of Alaska Fairbanks, the University of Idaho, Oregon State Unverity, Portland State University, Washington State University, and the University of Washington. The University of Washington is the lead university for this Consortium.Â¶ Funding for the Consortium derives from the US Department of Transportation which is matched by local sources. These funds support grant proposals for research and educational programs submitted from Consortium universities."
1947-020,American Chemical Society. Puget Sound Section,American Chemical Society. Puget Sound Section,Professional society of chemists and chemical engineers. 1909- . The Puget Sound section began in 1909.
18-021,University of Washington. School of Medicine. Associate Dean for Research and Graduate Education,"University of Washington School of Medicine, Office of Research and Graduate Education records",[Biographical Historical Note Needed]
00-070,University of Washington. President,"University of Washington, President records",[Biographical Historical Note Needed]
2014-003,"Mizrachi Women's Organization of America. Avivah Chapter (Seattle, Wash.)","Mizrachi Women's Organization of America, Avivah Chapter records","Women's religious Zionist organization supporting secondary technological education in Israel. The name changed in 1984 to AMIT, an acronym for Americans for Israel and Torah."
1711-004,"Lawrence, Cora Jane, 1925-",Cora Jane Lawrence papers,"Cora Jane Lawrence, born 1925, was a nurse and scholar of the history of nursing. Lawrence's dissertation (1972) on the history of the University ofÂ¶ Washington School of Nursing, was titled \""University Education for Nursing in Seattle, 1912-1950: An Inside Story of the University of Washington School.\"""
1912-001,"Van Doren, Delia Frances Geer",Delia Frances Geer Van Doren papers,[Biographical Historical Note Needed]
1729-001,Washington Environmental Council,Washington Environmental Council records,"The Washington Environmental Council (WEC) was founded in 1967 as an umbrella organization by and for the state of Washington's leading conservation groups. Through its mission \""to protect, restore, and sustain Washington's environment for all,\"" the organization has served as a coordinating body on issues of statewide significance. Among other achievements, the WEC has worked to enforce and pass the State Environmental Policy Act, the State Superfund Law, the Growth Management Act, and the Shoreline Management Act. It also operates the Environmental Priorities Coalition and the Voter Education Program. Throughout its history, the organization has also focused on other issues related to carbon pollution, clean energy, water pollution, forests, and public lands.Â¶ In 1986 and 1987, the WEC was heavily involved with the Timber, Fish, and Wildlife Implementation Project, which was the result of negotiations between the timber industry, the four natural resource agencies in Washington State, Indian tribes, and environmentalists. The Project is a cooperative plan for managing forest harvest practices on both state and private timberlands. Marcy Golde was involved with the negotiations, while Lisa Lombardy served as the WEC's statewide coordinator. Other WEC staff, through private funding, monitored timber harvest applications.Â¶ Another major legal case in which the WEC was involved concerned Washington State rules that imposed requirements on the design, equipment, reporting, and operations of oil tankers. Washington State, with the help of the WEC, defeated the trade association Intertanko, which represented operators of oil tanker ships. In 2000, however, the U.S. Supreme Court reversed the decision on the basis that federal law pre-empts state rules. Â¶ "
