,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
,CREATE,,,,,,,,
Label,LAST,Len,AFL-CIO. Region No. 9,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""AFL-CIO Region 9 records""",P217,"""5189""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AFL-CIORegion9_5189"""
,Q6411389,,,,,,,,
Label,Q6411389,Len,AFL-CIO. King County Labor Council of Washington,,,,,,
on focus list of Wikimedia project,Q6411389,P5008,Q98970039,,,,,,
archives at,Q6411389,P485,Q22096098,P1810,"""King County Labor Council records""",P217,"""1940""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AFLCIOKingCoLabor1940"""
,Q7972255,,,,,,,,
Label,Q7972255,Len,AFL-CIO. Washington State Labor Council,,,,,,
on focus list of Wikimedia project,Q7972255,P5008,Q98970039,,,,,,
archives at,Q7972255,P485,Q22096098,P1810,"""AFL-CIO, Washington State Labor Council records""",P217,"""0450""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AFLCIOWashingtonStateLaborCouncil0450"""
,CREATE,,,,,,,,
Label,LAST,Len,A. Philip Randolph Institute. Seattle Chapter,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""A. Philip Randolph Institute, Seattle Chapter records""",P217,"""5903""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/APhilipRandolphInstitute5903"""
,CREATE,,,,,,,,
Label,LAST,Len,"Allen, Al",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Al Allen collection on the International Longshore and Warehouse Union""",P217,"""6028""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AllenIntlLongshoreWarehouseUnion6028"""
,CREATE,,,,,,,,
Label,LAST,Len,"Amalgamated Transit Union. Local 587 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Amalgamated Transit Union, Local 587 records""",P217,"""5680""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AmalgamatedTransitUnionLocal587Seattle5680"""
,CREATE,,,,,,,,
Label,LAST,Len,"American Federation of Teachers. Local 1690 (Edmonds, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""American Federation of Teachers, Local 1690 records""",P217,"""5890""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AmericanFederationOfTeachersLocal1690Edmonds5890"""
,CREATE,,,,,,,,
Label,LAST,Len,"American Federation of Teachers. Local 200 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""American Federation of Teachers, Local 200 Records""",P217,"""1909""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AmericanFederationTeachersLocal200_1909"""
,CREATE,,,,,,,,
Label,LAST,Len,"American Federation of Teachers. Local 336 (Bremerton, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""American Federation of Teachers, Local 336 records""",P217,"""5715""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AmericanFederationTeachersLocal336_5715"""
,CREATE,,,,,,,,
Label,LAST,Len,"American Federation of Teachers. Local 401 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""American Federation of Teachers Local 401 records""",P217,"""0616""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AmericanFederationTeachersLocal401_0616"""
,CREATE,,,,,,,,
Label,LAST,Len,"American Federation of Teachers. Local 1789 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""American Federation of Teachers, Local 1789 records""",P217,"""6111""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AmericanFederationofTeachersLocal1789_6111"""
,CREATE,,,,,,,,
Label,LAST,Len,"American Federation of Teachers. Local 772 (Everett, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
